"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
2280,"2","2025-01-20T15:31:24.597755Z",4528,"/data/upload/19/34656fbd-20230814-013038-169_1.png","[{""points"":[[34.1666957889219,53.3220338983051],[38.56438930630789,57.71670702179178],[47.19063428271886,65.04116222760292],[55.14031102568584,70.31476997578694],[60.55285689323783,70.60774818401939],[64.10484011881881,69.14285714285717],[66.98025511095581,65.62711864406782],[66.98025511095581,59.767554479418905],[63.42827188537482,51.85714285714287],[57.677441901100835,44.23970944309929],[49.727765158133856,35.15738498789347],[39.74838371483489,30.1767554479419],[34.1666957889219,27.24697336561744],[28.415865804647915,29.297820823244557],[26.386161104315924,32.81355932203391],[27.062729337759922,38.38014527845037],[28.75414992136992,45.70460048426151]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":97,""original_height"":56},{""points"":[[34.6741219640049,64.45520581113803],[26.386161104315924,54.786924939467326],[19.620478769875945,44.23970944309929],[16.406779661016955,31.934624697336574],[16.23763760265595,24.903147699757877],[18.26734230298795,20.215496368038746],[26.217019045954927,15.820823244552063],[35.858116372531896,17.578692493946736],[48.20548663288486,22.55932203389831],[60.045430718154826,36.32929782082325],[66.8111130525948,46.58353510895885],[72.22365892014679,58.30266343825667],[72.3928009785078,65.33414043583538],[71.8853748034248,70.31476997578694],[66.47282893587281,76.4673123486683],[59.03057836798883,77.34624697336564],[48.543770749606864,73.83050847457629],[39.24095753975189,68.26392251815983]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":97,""original_height"":56}]",48.233,"2025-01-20T15:31:24.597755Z"
2281,"2","2025-01-20T15:55:07.236541Z",4529,"/data/upload/19/d2f84612-20230814-013039-338_1.png","[{""points"":[[52.803687837586146,47.16949152542374],[60.24082696964054,40.72397094430993],[65.19891972434347,36.32929782082325],[67.18215682622463,31.64164648910412],[66.19053827528404,27.832929782082328],[63.46358726019744,25.196125907990318],[58.50549450549452,26.95399515738499],[50.076736822499534,32.8135593220339],[41.40007450176942,41.30992736077482],[31.483888992363575,49.22033898305085],[24.542559135779477,53.90799031476998],[21.56770348295772,57.13075060532689],[21.07189420748743,60.93946731234867],[23.798845222574037,62.69733656174334],[27.021605513130943,60.93946731234867],[32.475507543304154,57.42372881355933],[38.17731421121252,53.32203389830509],[44.62283479232632,50.09927360774819]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":78,""original_height"":66},{""points"":[[43.38331160365059,58.59564164648911],[34.21084000745018,62.69733656174334],[26.029986962190353,64.45520581113801],[19.336561743341406,63.57627118644068],[17.353324641460237,60.64648910411623],[17.353324641460237,56.83777239709443],[21.07189420748743,50.68523002421308],[28.509033339541816,41.89588377723971],[36.68988638480164,34.57142857142858],[44.87073943006147,28.418886198547217],[52.05997392438071,23.731234866828093],[60.488731607375676,21.09443099273608],[65.4468243620786,21.09443099273608],[69.90910784131124,23.731234866828093],[71.39653566772212,29.004842615012112],[71.14863102998696,33.98547215496369],[68.42168001490036,38.67312348668281],[59.24920841869995,48.341404358353515],[50.32464146023469,54.49394673123488]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":78,""original_height"":66}]",1422.337,"2025-01-20T15:55:07.236541Z"
2282,"2","2025-01-20T15:56:01.290866Z",4530,"/data/upload/19/360f1900-20230814-013042-994_2.png","[{""points"":[[29.140425027797086,51.18533484676506],[37.6159187848913,58.94068861142644],[43.93099256468699,63.593900870223266],[49.747507888183016,64.11092445453403],[52.73885862598098,63.593900870223266],[54.23453399487995,60.491759364358714],[54.40072014697984,54.804499936940374],[52.73885862598098,48.083193340900515],[48.7503909755837,40.8448631605499],[40.93964182688903,31.53843864295625],[34.95694035129311,27.919273552780943],[29.47279733199686,27.402249968470187],[25.151957377399803,26.885226384159427],[22.99153740010128,28.95332072140246],[21.662048183302186,30.504391474334735],[21.4958620312023,36.19165090175308],[22.825351248001393,40.32783957623914],[25.318143529499693,46.532122587968246]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":140,""original_height"":45},{""points"":[[38.280663393290844,69.2811602976416],[30.1375419403964,62.04283011729099],[21.99442048750196,52.219382015386586],[17.341208228705135,39.810815991928386],[16.344091316105818,34.12355656451005],[16.177905164005928,27.919273552780943],[17.673580532904907,22.749037709673363],[22.160606639601845,19.129872619498055],[28.80805272359731,17.57880186656578],[36.951174176491755,18.09582545087654],[45.75904023778574,24.817132046916395],[50.74462480078233,32.572485811577764],[54.73309245117961,42.395933913482175],[57.05969858057802,51.70235843107582],[57.55825703687769,56.872594274183406],[56.56114012427837,68.76413671333084],[52.24030016968132,73.93437255643843],[46.2575986940854,74.45139614074918]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":140,""original_height"":45}]",53.744,"2025-01-20T15:56:01.290866Z"
2283,"2","2025-01-20T15:57:03.170455Z",4531,"/data/upload/19/b6969ed0-20230814-013043-823_1.png","[{""points"":[[62.05867447491412,44.794188861985475],[55.678810743848196,37.04600484261502],[46.399008953206824,27.11864406779662],[38.27918238639564,21.79176755447943],[28.12939917788164,17.19128329297822],[20.29956641702799,16.46489104116224],[15.94965932766485,17.9176755447942],[14.78968410383468,22.518159806295408],[15.079677909792222,30.750605326876524],[20.879554028943073,41.162227602905574],[31.029337237457067,51.57384987893463],[41.75910805788614,59.07990314769977],[49.87893462469734,61.016949152542374],[56.258798355763275,60.53268765133173],[61.76868066895658,55.44794188861986],[64.66861872853201,50.605326876513324]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":86,""original_height"":103}]",30.212,"2025-01-20T15:57:03.170455Z"
2284,"2","2025-01-20T15:57:45.864538Z",4532,"/data/upload/19/eb17503f-20230814-013044-470_2.png","[{""points"":[[41.91484119071359,56.01157384987895],[51.13610625267058,63.810653753026656],[59.79850676541806,71.9642372881356],[64.82828770830369,75.50927360774821],[69.85806865118931,75.86377723970946],[73.49068822105116,73.73675544794192],[74.04955277026068,69.83721549636806],[71.53466229881786,62.03813559322035],[62.313397236860865,53.17554479418888],[51.13610625267058,45.021961259079916],[38.002789346246985,37.222881355932216],[28.502092009685242,31.905326876513328],[24.31060789061388,29.77830508474577],[21.23685286996155,32.614334140435844],[22.35458196838058,37.577384987893474],[25.987201538242427,42.18593220338984],[35.48789887480417,50.33951573849881]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":85,""original_height"":67},{""points"":[[51.13610625267058,75.15476997578695],[37.723357071642226,62.392639225181625],[27.384362911266212,51.04852300242132],[20.677988320752036,42.540435835351104],[16.48650420168068,35.09585956416466],[15.368775103261651,28.714794188861998],[16.48650420168068,24.106246973365625],[22.913446517590096,22.33372881355933],[30.178685657313785,24.106246973365625],[44.70916393676116,30.48731234866829],[56.16588719555621,38.640895883777254],[68.7403395527703,50.33951573849881],[76.00557869249397,60.265617433414064],[78.79990143854154,69.83721549636806],[78.24103688933202,77.63629539951576],[72.93182367184164,82.95384987893465],[63.71055860988466,82.24484261501213]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":85,""original_height"":67}]",42.421,"2025-01-20T15:57:45.864538Z"
2285,"2","2025-01-20T15:58:49.216074Z",4533,"/data/upload/19/a0b3b109-20230814-013046-205_6.png","[{""points"":[[49.624982196268355,22.06779661016948],[28.582253240279176,24.118644067796602],[20.930351801737658,29.685230024213062],[19.017376442102275,39.06053268765132],[20.29269334852585,51.65859564164648],[26.669277880643786,63.37772397094431],[36.87181313203248,74.21791767554478],[45.16137302378579,80.37046004842615],[55.36390827517448,82.42130750605327],[65.56644352656316,82.71428571428571],[74.49366187152827,79.78450363196126],[80.8702464036462,72.16707021791767],[82.14556331006979,62.791767554479414],[80.23258795043442,54.295399515738495],[73.85600341831649,40.52542372881355],[66.20410197977498,30.564164648910403]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":51,""original_height"":111}]",63.079,"2025-01-20T15:58:49.216074Z"
2286,"2","2025-01-20T15:59:37.614378Z",4534,"/data/upload/19/ce09d57c-20230814-013046-245_13.png","[{""points"":[[49.246580606583464,35.57464391479067],[58.881781160045456,34.370243845607924],[65.84053711532356,34.370243845607924],[70.12284847241776,32.5636437418338],[73.60222645005682,31.961443707242427],[76.54631550805908,31.961443707242427],[78.68747118660619,33.16584377642518],[80.02569348569814,36.779043983973416],[79.49040456606136,42.198844295295785],[76.0110265884223,45.812044502844024],[69.85520401259937,47.61864460661815],[63.96702589659483,47.61864460661815],[50.8524473654938,50.629644779575024],[44.696624789670864,53.03844491794051],[39.343735593303094,53.03844491794051],[36.66729099511921,50.02744474498364],[36.9349354549376,44.60764443366128],[40.68195789239504,39.18784412233891],[43.358402490578925,35.57464391479067]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":126,""original_height"":56},{""points"":[[52.72595858422252,66.28684567895074],[44.42898032985247,66.28684567895074],[38.27315775402954,62.673645471402494],[35.06142423620888,55.447245056306],[33.72320193711694,46.4142445374354],[35.06142423620888,39.18784412233891],[39.343735593303094,30.757043638059677],[46.03484708876281,25.939443361328685],[53.52889196367768,23.530643222963192],[63.16409251713967,21.72404311918907],[70.39049293223614,22.326243153780446],[77.08160442769586,25.939443361328685],[81.0962713249717,31.359243672651054],[82.16684916424524,36.17684394938204],[81.36391578479008,42.801044329887155],[77.34924888751425,49.42524471039227],[69.0522706331442,57.8560451946715],[61.02293683859256,63.87804554058525]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":126,""original_height"":56}]",48.103,"2025-01-20T15:59:37.614888Z"
2287,"2","2025-01-20T16:00:19.982379Z",4535,"/data/upload/19/6746b9fc-20230814-013046-388_10.png","[{""points"":[[48.90594220317825,32.548663026674255],[60.34166003178212,37.97344019778664],[70.07418584335987,48.220241520998904],[76.64364076617485,55.45327774914873],[80.53665109080596,61.480807939273596],[81.99652996254262,68.71384416742343],[80.53665109080596,73.53586831952332],[77.13026705675375,75.94688039557327],[68.61430697162321,74.13862133853581],[59.12509430533489,71.72760926248587],[51.82569994665157,68.11109114841095],[42.33648728036326,56.05603076816122],[36.98359808399549,48.822994540011386],[32.36064832349606,36.165181140749176],[32.36064832349606,30.740403969636798],[35.037092921679935,29.534897931611827],[40.633295263337146,31.343156988649284]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":109,""original_height"":44},{""points"":[[40.633295263337146,23.507367741486966],[49.63588163904658,22.30186170346199],[58.881781160045456,25.91837981753691],[68.12768068104432,33.151416045686744],[76.40032762088542,44.0009703879115],[81.26659052667429,54.85052473013625],[83.69972197956874,63.89182001532354],[83.69972197956874,74.13862133853581],[79.32008536435875,80.16615152866066],[73.23725673212265,82.57716360471062],[64.96460979228155,83.1799166237231],[53.28557881838824,80.76890454767316],[45.25624502383659,74.7413743575483],[36.98359808399549,62.68631397729857],[29.440890580022728,51.234006616061336],[29.440890580022728,42.79546434988652],[31.387395742338274,28.932144912599338],[36.25365864812716,24.110120760499452]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":109,""original_height"":44}]",42.08,"2025-01-20T16:00:19.982379Z"
2288,"2","2025-01-20T16:00:44.287830Z",4536,"/data/upload/19/e61334f8-20230814-013046-428_3.png","[{""points"":[[32.88230737476462,36.33201372881359],[34.166772506591364,65.39762471186445],[38.53395395480229,68.51179731719134],[49.58035408851228,70.58791238740926],[58.05782395856879,69.5498548523003],[69.36111711864412,63.321509641646536],[77.32480093596993,51.90287675544798],[81.69198238418085,45.15550277723974],[82.9764475160076,38.92715756658598],[81.69198238418085,31.660754820823268],[78.86615909416203,24.913380842615034],[71.93004738229762,18.166006864406796],[65.76461474952924,15.051834259079913],[58.57161001129948,16.089891794188873],[48.29588895668554,20.242121934624713],[40.33220513935973,25.95143837772399]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":99,""original_height"":49}]",24.05,"2025-01-20T16:00:44.287830Z"
2290,"2","2025-01-20T16:01:33.326400Z",4538,"/data/upload/19/f91b35e2-20230815-135330-883_1.png","[{""points"":[[45.33865117029865,51.08397336561745],[53.6576697336562,58.493099273607776],[60.31288458434224,63.95245520581116],[63.22454108151738,66.68213317191287],[65.72024665052464,65.51227118644071],[65.30429572235677,60.442869249394704],[60.728835512510116,53.03374334140438],[54.48957158999196,44.8447094430993],[46.58650395480228,37.82553753026636],[36.18773075060535,28.07668765133173],[29.532515899919304,22.227377723970953],[26.204908474576282,19.107745762711872],[21.629448264729632,19.497699757869256],[22.461350121065387,23.39723970944311],[24.957055690072654,28.466641646489116],[32.028221468926574,36.6556755447942],[39.099387247780484,45.234663438256675]],""closed"":true,""polygonlabels"":[""Lipid""],""original_width"":75,""original_height"":80},{""points"":[[39.51533817594836,56.15337530266346],[50.33006230831318,65.51227118644071],[58.64908087167073,69.80176513317194],[64.05644293785315,70.19171912832934],[69.46380500403555,67.46204116222764],[71.12760871670706,63.95245520581116],[69.87975593220342,56.15337530266346],[63.64049200968525,47.1844334140436],[52.82576787732044,36.26572154963682],[42.01104374495563,26.906825665859575],[31.61227054075869,18.3278377723971],[24.541104761904773,15.20820581113802],[20.381595480225997,14.428297820823252],[18.30184083938661,16.768021791767563],[18.717791767554488,24.17714769975788],[23.70920290556902,34.70590556900728],[30.364417756255058,45.234663438256675]],""closed"":true,""polygonlabels"":[""Prosome""],""original_width"":75,""original_height"":80}]",43.224,"2025-01-20T16:01:33.326400Z"
